City,State,StateCode,CensusCode,City_State,Latitude,Longitude,Population,sameHouse1yr,transport,car_percent,transportCar,public_transport_percent,publicTransport,walked_percent,walked,medianIncome,employment,rent_percent,rent,own_percent,own,housingTenure,medianValue,medianRent,white_percent,white,black_percent,black,asian_percent,asian,two_plus_percent,twoPlusRaces,hispanic_percent,hispanic,foreign_born_percent,foreignBorn,commute_10_percent,commuteless10,commute_10_29_percent,commute10to29,commute_30_59_percent,commute30to59,commute_60_percent,commute60plus,counttraveltime,ya_percent,youngAdults,industryTotal,NR_percent,naturalReasources,construction_percent,construction,manufacturing_percent,manufacturing,sales,sales_percent,wholesale,retail,transpo_percent,transportation,info_percent,information,finance_percent,finance,sci_percent,scientific,edu_percent,education,arts_percent,arts,other_percent,other,PA_percent,publicAdmin,housingTypeTotal,percent_1_unit,units1,percent_2_unit,units2,percent_3_4_unit,units3or4,percent_5_9_unit,units5or9,percent_10_unit,units10plus,percent_other_housing,otherType,republican,democrat,bars_pp,total_bars,restaurants_pp,total_restaurants,parks_pp,total_parks,activities_pp,total_activities,nightlife_pp,total_nightlife,museums_pp,total_museums,max_avg_high,max_avg_low,mean_diff,international_airport,amtrak,crime_rate
San Jose,California,CA,79039,"San Jose, California",37.3361663,-121.890591,1771563,1499746,931252,0.655533,610466,0.030388,28299,0.050181,46731,156284,1001194,0.466597,296994,0.533403,339517,636511,1509000,2800,0.292,516837,0.025,43765,0.429,760294,0.125,221873,0.229,405788,0.432,766116,0.065,50377,0.562,437735,0.307,239064,0.066,51459,778635,0.091,161852,958204,0.002,2209,0.043,41357,0.167,159755,79665,0.083,8076,71589,0.033,32020,0.068,65099,0.040,38407,0.234,223845,0.196,187732,0.071,67630,0.037,35622,0.026,24863,672941,0.599,402979,0.014,9360,0.054,36269,0.052,34890,0.256,172215,0.026,17228,0,7,0.000232,411,0.001806,3200,0.000180,318,0.001976,3500,0.000267,473,0.000072,127,99.8,30.7,69.1,1,1,31.82
Boulder,Colorado,CO,09298,"Boulder, Colorado",40.0149856,-105.270545,120121,81865,62876,0.481742,30290,0.052707,3314,0.144682,9097,77348,69375,0.519432,26490,0.480568,24508,50998,939600,1908,0.800,96143,0.016,1966,0.053,6336,0.115,13760,0.106,12715,0.102,12287,0.200,8899,0.631,28144,0.121,5391,0.048,2148,44582,0.285,34231,64736,0.013,823,0.022,1431,0.080,5201,7964,0.123,635,7329,0.022,1428,0.029,1845,0.040,2578,0.219,14151,0.262,16959,0.113,7315,0.047,3021,0.031,2020,54527,0.471,25688,0.019,1057,0.068,3705,0.087,4741,0.333,18183,0.021,1153,0,7,0.000808,97,0.003713,446,0.000666,80,0.007900,949,0.000849,102,0.000158,19,98.5,-7.5,106,0,0,37.62
Colorado Springs,Colorado,CO,18856,"Colorado Springs, Colorado",38.8339578,-104.825348,638421,507435,336758,0.690481,232525,0.003281,1105,0.040851,13757,85562,358106,0.364319,95818,0.635681,167188,263006,457600,1688,0.698,445903,0.065,41419,0.031,19636,0.135,85872,0.200,127444,0.072,46253,0.118,32898,0.599,166648,0.224,62293,0.058,16226,278065,0.099,63410,314005,0.007,2338,0.067,20908,0.055,17310,37567,0.120,3116,34451,0.044,13908,0.027,8625,0.080,24964,0.154,48317,0.236,74245,0.093,29105,0.055,17293,0.062,19425,274915,0.723,198789,0.014,3861,0.033,9164,0.049,13549,0.159,43671,0.021,5881,0,7,0.000414,264,0.001566,1000,0.000091,58,0.001501,958,0.000445,284,0.000069,44,96.7,-7.1,103.8,0,0,40.74
Denver,Colorado,CO,23527,"Denver, Colorado",39.7392364,-104.984862,2691349,2220545,1523944,0.642175,978638,0.024968,38050,0.041574,63356,100522,1602705,0.395081,444716,0.604919,680917,1125633,594700,1894,0.637,1714489,0.058,154847,0.046,124473,0.168,453326,0.255,685845,0.131,353218,0.094,112679,0.498,595302,0.345,411909,0.063,75096,1194986,0.083,222081,1541163,0.010,15901,0.075,115055,0.064,99275,183001,0.119,36341,146660,0.055,84098,0.032,49317,0.078,120142,0.178,274327,0.205,316396,0.095,146034,0.048,73634,0.042,63983,1180658,0.621,732666,0.011,13388,0.029,34323,0.052,61628,0.273,322841,0.013,15812,0,7,0.000350,942,0.001078,2900,0.000098,264,0.001189,3200,0.000365,983,0.000053,143,100.6,-11,111.6,1,1,74.14
Fort Collins,Colorado,CO,30628,"Fort Collins, Colorado",40.5871782,-105.0770113,339256,279237,179449,0.668424,119948,0.008643,1551,0.063701,11431,86848,191077,0.394940,56429,0.605060,86451,142880,543300,1693,0.820,278123,0.011,3677,0.023,7646,0.115,38963,0.134,45346,0.047,15887,0.156,22125,0.569,80888,0.199,28361,0.076,10849,142223,0.149,50530,181449,0.017,3011,0.065,11849,0.092,16686,18613,0.103,2875,15738,0.038,6875,0.019,3389,0.054,9803,0.147,26742,0.267,48381,0.113,20523,0.043,7743,0.043,7834,148591,0.688,102219,0.018,2689,0.055,8154,0.067,9981,0.147,21814,0.025,3734,0,7,0.000392,133,0.001486,504,0.000121,41,0.001727,586,0.000348,118,0.000038,13,98.2,-7.7,105.9,0,1,32.02
Hartford,Connecticut,CT,37243,"Hartford, Connecticut",41.764582,-72.6908547,969171,859217,495452,0.714610,354055,0.028709,14224,0.037245,18453,85062,531094,0.374419,149841,0.625581,250355,400196,311800,1377,0.619,599503,0.134,130001,0.065,62512,0.107,103861,0.189,182845,0.167,161973,0.120,51469,0.588,252094,0.242,103663,0.050,21233,428459,0.093,90180,506394,0.006,2819,0.049,24594,0.105,53026,58083,0.115,8419,49664,0.060,30452,0.017,8706,0.095,47951,0.120,60867,0.270,136848,0.078,39705,0.039,19684,0.047,23659,428107,0.593,253889,0.070,30180,0.095,40625,0.066,28335,0.169,72362,0.006,2716,0,7,0.000170,165,0.001032,1000,0.000080,78,0.000870,843,0.000189,183,0.000056,54,97.7,-3.4,101.1,1,1,30.36
New Haven,Connecticut,CT,62407,"New Haven, Connecticut",41.3082138,-72.9250518,565056,482609,282796,0.710961,201057,0.031631,8945,0.060478,17103,79396,302598,0.414533,96413,0.585467,136169,232582,348600,1457,0.612,345584,0.136,76680,0.044,24668,0.103,58461,0.200,113105,0.138,77926,0.155,38264,0.559,138162,0.223,55054,0.063,15689,247169,0.104,58742,289297,0.002,464,0.056,16183,0.101,29181,29856,0.103,2945,26911,0.050,14543,0.019,5364,0.056,16277,0.108,31238,0.363,104939,0.075,21739,0.040,11601,0.027,7912,251028,0.577,144928,0.107,26746,0.102,25615,0.047,11736,0.160,40232,0.007,1771,0,7,0.000333,188,0.001947,1100,0.000078,44,0.001326,749,0.000370,209,0.000048,27,92.1,6.2,85.9,0,1,37.17
Dover,Delaware,DE,24580,"Dover, Delaware",39.158168,-75.5243682,128045,107616,64098,0.757559,48558,0.015149,971,0.033823,2168,71337,67921,0.277894,13706,0.722106,35615,49321,307600,1390,0.453,57953,0.382,48934,0.022,2760,0.098,12553,0.114,14611,0.104,13283,0.116,6697,0.548,31547,0.239,13733,0.097,5591,57568,0.114,14654,62826,0.001,57,0.056,3492,0.076,4778,9032,0.144,1208,7824,0.065,4066,0.006,349,0.060,3764,0.079,4963,0.262,16436,0.101,6327,0.031,1957,0.121,7605,51595,0.757,39044,0.007,354,0.018,947,0.051,2624,0.089,4616,0.078,4010,0,7,0.000211,27,0.001991,255,0.002218,284,0.001343,172,0.000242,31,0.001539,197,96.1,8.8,87.3,0,1,55.53
Washington,District of Columbia,DC,92242,"Washington, District of Columbia",38.8950368,-77.0365427,5146120,4377744,2801563,0.533772,1495396,0.095641,267943,0.060809,170360,122458,2968953,0.401583,799310,0.598417,1191087,1990397,607500,1973,0.390,2008672,0.258,1326213,0.123,634784,0.124,638855,0.197,1012355,0.275,1417732,0.057,124470,0.413,895096,0.411,891555,0.119,257249,2168370,0.086,442639,2803441,0.001,3402,0.062,173394,0.030,83983,216479,0.077,24696,191783,0.043,120121,0.024,67283,0.064,180156,0.233,652849,0.194,542842,0.080,223821,0.064,179159,0.128,359952,2092950,0.586,1225501,0.013,26735,0.025,52495,0.060,124836,0.312,652853,0.005,10530,0,7,0.000233,1200,0.000952,4900,0.000098,505,0.000816,4200,0.000253,1300,0.000077,398,99.1,12.3,86.8,1,1,42.29
Gainesville,Florida,FL,32167,"Gainesville, Florida",29.6519684,-82.3249846,219946,164227,110809,0.710908,78775,0.030512,3381,0.085462,9470,56111,118015,0.525533,50550,0.474467,45638,96188,317300,1381,0.574,126213,0.194,42760,0.076,16692,0.115,25269,0.134,29544,0.144,31753,0.135,13209,0.636,62423,0.200,19608,0.029,2858,98098,0.252,55405,113267,0.009,984,0.028,3204,0.030,3417,13826,0.122,1523,12303,0.026,2979,0.002,281,0.052,5879,0.104,11794,0.443,50187,0.086,9746,0.042,4771,0.055,6199,102354,0.502,51348,0.017,1790,0.085,8738,0.110,11219,0.261,26743,0.025,2516,7,0,0.000532,117,0.002573,566,0.000286,63,0.002228,490,0.000587,129,0.000068,15,97.8,22.8,75,0,1,32.48
