City,State,StateCode,City_State,Latitude,Longitude,car_percent,medianRent,white_percent,nonwhite_percent,foreign_born_percent,NR_percent,construction_percent,manufacturing_percent,sales_percent,transpo_percent,info_percent,finance_percent,sci_percent,edu_percent,arts_percent,other_percent,PA_percent,republican,democrat,bars_pp,restaurants,parks_pp,activities_pp,nightlife_pp,nightlife,activities,museums_pp,max_avg_high,max_avg_low,mean_diff,international_airport,transit,amtrak,crime_rate,pop_density
Dover,Delaware,DE,"Dover, Delaware",39.158168,-75.5243682,0.757559,1390,0.453,0.547,0.104,0.001,0.056,0.076,0.144,0.065,0.006,0.06,0.079,0.262,0.101,0.031,0.121,0,7,0.0002,0.0020,0.0022,0.0013,0.0002,0.0005,0.0029,0.0015,96.1,8.8,87.3,0,1,1,55.53,1664.82
Washington,District of Columbia,DC,"Washington, District of Columbia",38.8950368,-77.0365427,0.533772,1973,0.39,0.61,0.275,0.001,0.062,0.03,0.077,0.043,0.024,0.064,0.233,0.194,0.08,0.064,0.128,0,7,0.0002,0.0010,0.0001,0.0008,0.0003,0.0005,0.0009,0.0001,99.1,12.3,86.8,1,2,1,42.29,11280.71
Gainesville,Florida,FL,"Gainesville, Florida",29.6519684,-82.3249846,0.710908,1381,0.574,0.426,0.144,0.009,0.028,0.03,0.122,0.026,0.002,0.052,0.104,0.443,0.086,0.042,0.055,7,0,0.0005,0.0026,0.0003,0.0022,0.0006,0.0011,0.0023,0.0001,97.8,22.8,75,0,1,1,32.48,2226.61
Jacksonville,Florida,FL,"Jacksonville, Florida",30.3321838,-81.655651,0.671075,1553,0.548,0.452,0.114,0.004,0.068,0.054,0.147,0.066,0.017,0.123,0.144,0.193,0.092,0.046,0.046,7,0,0.0002,0.0010,0.0001,0.0007,0.0002,0.0004,0.0007,0.0000,98.4,23.5,74.9,1,2,1,63.99,1270.73
Miami,Florida,FL,"Miami, Florida",25.7741728,-80.19362,0.685111,1920,0.364,0.636,0.429,0.005,0.08,0.046,0.135,0.081,0.016,0.087,0.151,0.205,0.105,0.056,0.032,7,0,0.0002,0.0008,0.0001,0.0008,0.0002,0.0004,0.0008,0.0000,95.8,42.5,53.3,1,2,1,29.79,12284.47
Orlando,Florida,FL,"Orlando, Florida",28.5421109,-81.3790304,0.676937,1811,0.473,0.527,0.219,0.003,0.066,0.054,0.131,0.065,0.017,0.073,0.164,0.2,0.157,0.043,0.027,7,0,0.0003,0.0014,0.0001,0.0013,0.0003,0.0006,0.0013,0.0000,97.2,31.3,65.9,1,2,1,48.54,2774.65
Tallahassee,Florida,FL,"Tallahassee, Florida",30.4380832,-84.2809332,0.726205,1284,0.536,0.464,0.089,0.01,0.037,0.024,0.13,0.023,0.012,0.049,0.136,0.254,0.119,0.053,0.155,7,0,0.0006,0.0029,0.0003,0.0020,0.0006,0.0012,0.0021,0.0001,99.8,20.2,79.6,1,1,0,30.54,1926
Tampa,Florida,FL,"Tampa, Florida",27.9477595,-82.458444,0.659608,1753,0.601,0.399,0.171,0.007,0.071,0.06,0.135,0.052,0.016,0.104,0.163,0.205,0.093,0.053,0.039,7,0,0.0001,0.0007,0.0001,0.0007,0.0002,0.0003,0.0007,0.0000,96.2,32.8,63.4,1,2,1,24.3,3376.4
West Palm Beach,Florida,FL,"West Palm Beach, Florida",26.715364,-80.0532942,0.711859,1484,0.75,0.25,0.095,0.001,0.071,0.054,0.162,0.058,0.012,0.09,0.134,0.232,0.101,0.048,0.037,7,0,0.0005,0.0026,0.0003,0.0035,0.0006,0.0010,0.0036,0.0001,95.4,37.7,57.7,1,2,1,33.13,2246.97
Athens,Georgia,GA,"Athens, Georgia",33.9597677,-83.376398,0.760082,1281,0.592,0.408,0.081,0.009,0.042,0.058,0.123,0.06,0.007,0.05,0.138,0.304,0.119,0.041,0.049,4,3,0.0007,0.0028,0.0001,0.0020,0.0007,0.0014,0.0021,0.0001,100,15,85,0,0,0,35.22,1094.43
Atlanta,Georgia,GA,"Atlanta, Georgia",33.7489924,-84.3902644,0.654892,1739,0.382,0.618,0.178,0.003,0.066,0.072,0.132,0.075,0.029,0.075,0.174,0.198,0.088,0.05,0.039,4,3,0.0001,0.0005,0.0000,0.0005,0.0002,0.0003,0.0005,0.0000,97.3,15.2,82.1,1,2,1,47.91,3685.45
Columbus,Georgia,GA,"Columbus, Georgia",32.4610708,-84.9880449,0.712022,1005,0.419,0.581,0.043,0.009,0.05,0.101,0.12,0.052,0.013,0.109,0.105,0.23,0.101,0.039,0.071,4,3,0.0003,0.0026,0.0002,0.0013,0.0004,0.0007,0.0014,0.0001,99.5,19.2,80.3,0,0,0,32.89,955.76
Savannah,Georgia,GA,"Savannah, Georgia",32.0790074,-81.0921335,0.732022,1506,0.481,0.519,0.094,0.004,0.054,0.092,0.135,0.091,0.014,0.05,0.136,0.206,0.13,0.045,0.043,4,3,0.0007,0.0022,0.0002,0.0021,0.0007,0.0014,0.0024,0.0002,99.7,21.6,78.1,1,2,1,22.12,1300
Honolulu,Hawaii,HI,"Honolulu, Hawaii",21.304547,-157.855676,0.60379,1953,0.157,0.843,0.21,0.005,0.068,0.031,0.136,0.071,0.015,0.065,0.108,0.232,0.127,0.052,0.088,0,7,0.0005,0.0029,0.0004,0.0037,0.0006,0.0012,0.0039,0.0002,91.7,58.5,33.2,1,1,0,35.5,5791
Boise,Idaho,ID,"Boise, Idaho",43.6166163,-116.200886,0.684411,1590,0.827,0.173,0.067,0.008,0.08,0.108,0.132,0.039,0.021,0.073,0.126,0.224,0.093,0.041,0.056,7,0,0.0005,0.0016,0.0002,0.0015,0.0005,0.0009,0.0016,0.0001,105.2,5.1,100.1,1,2,1,14.66,2860.54
Chicago,Illinois,IL,"Chicago, Illinois",41.8755616,-87.6244212,0.611531,1405,0.502,0.498,0.198,0.003,0.049,0.11,0.12,0.075,0.018,0.08,0.151,0.23,0.086,0.046,0.032,0,7,0.0002,0.0006,0.0000,0.0006,0.0002,0.0003,0.0006,0.0000,97.1,-6.5,103.6,1,2,1,37.15,12059.84
Indianapolis,Indiana,IN,"Indianapolis, Indiana",39.7683331,-86.1583502,0.730688,1247,0.639,0.361,0.111,0.004,0.057,0.114,0.132,0.067,0.014,0.076,0.134,0.243,0.076,0.045,0.039,7,0,0.0002,0.0007,0.0001,0.0009,0.0002,0.0004,0.0009,0.0001,94.9,-4.9,99.8,1,2,1,43.82,2454.5
South Bend,Indiana,IN,"South Bend, Indiana",41.6833813,-86.2500066,0.740066,1066,0.703,0.297,0.072,0.004,0.054,0.18,0.121,0.054,0.014,0.051,0.084,0.294,0.071,0.047,0.024,7,0,0.0005,0.0020,0.0002,0.0013,0.0005,0.0009,0.0014,0.0001,95.3,-7.7,103,0,1,1,46.15,2464.57
