City             ,State                ,StateCode ,CensusCode ,Population ,sameHouse1yr ,transportCar ,publicTransport ,medianIncome ,employment ,rent    ,own     ,housingTenure ,medianValue ,medianRent ,white   ,black   ,asian   ,twoPlusRaces ,hispanic ,foreignBorn ,commuteless10 ,commute10to29 ,commute30to59 ,commute60plus ,counttraveltime ,youngAdults ,industryTotal ,naturalReasources ,construction ,manufacturing ,wholesale ,retail ,transportation ,information ,finance ,scientific ,education ,arts   ,other  ,publicAdmin ,housingTypeTotal ,units1  ,units2 ,units3or4 ,units5or9 ,units10plus ,otherType
Portland         ,Maine                ,ME        ,     71263 ,    213660 ,      182612 ,       79688 ,          79688 ,       87804 ,    128394 ,  39964 ,  58047 ,        98011 ,     474300 ,      1596 , 178799 ,   9629 ,   5156 ,       17759 ,    6531 ,      17301 ,        15728 ,        62361 ,        18061 ,         3093 ,          99243 ,      21540 ,       124964 ,              624 ,        4745 ,        10176 ,     2004 , 15536 ,          4121 ,       2583 ,   9254 ,     19497 ,    36719 , 11678 ,  5003 ,       3024 ,          108266 ,  58002 , 10698 ,    14060 ,     6733 ,      16930 ,     1843
Ann Arbor        ,Michigan             ,MI        ,     02602 ,    314647 ,      240990 ,      101623 ,         101623 ,       76811 ,    174775 ,  56354 ,  74984 ,       131338 ,     339200 ,      1435 , 200193 ,  49542 ,  29420 ,       30917 ,   20414 ,      49133 ,        14539 ,        82051 ,        33294 ,         5480 ,         135364 ,      59453 ,       168352 ,              236 ,        3620 ,        19615 ,     2416 , 16581 ,          6519 ,       2670 ,   6386 ,     19912 ,    61554 , 17326 ,  7181 ,       4336 ,          141275 ,  81998 ,  2742 ,     6447 ,    17160 ,      26611 ,     6317
Grand Rapids     ,Michigan             ,MI        ,     34300 ,    611480 ,      522535 ,      240892 ,         240892 ,       79135 ,    341388 ,  77273 , 161190 ,       238463 ,     296800 ,      1273 , 429682 ,  66666 ,  19820 ,       70080 ,   75590 ,      56916 ,        44690 ,       187521 ,        40895 ,        10483 ,         283589 ,      59258 ,       328901 ,             2469 ,       18531 ,        57631 ,    11424 , 36340 ,         14222 ,       3812 ,  23618 ,     38459 ,    76444 , 25006 , 14269 ,       6676 ,          248750 , 171047 , 10233 ,     7689 ,    14643 ,      36828 ,     8310
Lansing          ,Michigan             ,MI        ,     47719 ,    318001 ,      256178 ,      109133 ,         109133 ,       64473 ,    174741 ,  56248 ,  78124 ,       134372 ,     202400 ,      1067 , 214328 ,  38627 ,  20918 ,       34636 ,   28867 ,      27195 ,        23216 ,        89204 ,        17308 ,         8427 ,         138155 ,      61897 ,       164980 ,              933 ,        6604 ,        16397 ,     2591 , 17084 ,          8688 ,       1886 ,  13773 ,     17069 ,    46432 , 14132 ,  6772 ,      12619 ,          145320 ,  89984 ,  2521 ,     4675 ,     9246 ,      34219 ,     4675
Detroit          ,Michigan             ,MI        ,     23824 ,   3716929 ,     3302368 ,     1303437 ,        1303437 ,       70551 ,   1896953 , 457752 ,1066821 ,      1524573 ,     241100 ,      1191 ,2250048 , 901805 , 210715 ,      264227 ,  208654 ,     449803 ,       150482 ,       795784 ,       483996 ,        83169 ,        1513431 ,     296625 ,      1796910 ,             5605 ,       90377 ,       349409 ,    30567 ,186836 ,         90426 ,      24505 , 120197 ,    222881 ,   386988 ,157573 , 76866 ,      54680 ,         1674173 ,1261582 , 34439 ,    52725 ,    88569 ,     196374 ,    40484
Minneapolis      ,Minnesota            ,MN        ,     57628 ,   2906807 ,     2507900 ,     1033159 ,        1033159 ,       93662 ,   1660357 , 401706 , 797370 ,      1199076 ,     369000 ,      1448 ,1955578 , 342343 , 249000 ,      240230 ,  226980 ,     371226 ,       134542 ,       768884 ,       318012 ,        38568 ,        1260006 ,     245863 ,      1607684 ,            10136 ,       77646 ,       213626 ,    40315 ,163521 ,         73472 ,      29660 , 139710 ,    217130 ,   398542 ,120908 , 68204 ,      54814 ,         1256062 , 822613 , 33247 ,    26527 ,    33670 ,     324743 ,    15262
Rochester        ,Minnesota            ,MN        ,     75637 ,    123252 ,      101919 ,       40284 ,          40284 ,       85125 ,     68466 ,  17521 ,  33694 ,        51215 ,     323200 ,      1446 ,  88227 ,  12101 ,   9836 ,        8122 ,    7510 ,      16550 ,        10138 ,        37784 ,         4784 ,         2029 ,          54735 ,      10314 ,        66341 ,              110 ,        2709 ,         4744 ,     1178 ,  5796 ,           837 ,        520 ,   2430 ,      4063 ,    34748 ,  4560 ,  2574 ,       2072 ,           56228 ,  37954 ,  1280 ,     2901 ,     1687 ,      11720 ,      686
Kansas City      ,Missouri             ,MO        ,     43912 ,   1686807 ,     1462915 ,      651062 ,         651062 ,       77266 ,    925594 , 260095 , 441466 ,       701561 ,     284100 ,      1254 ,1127125 , 239052 ,  56662 ,      180286 ,  216514 ,     148562 ,        83451 ,       462828 ,       175929 ,        22224 ,         744432 ,     140889 ,       896582 ,             4199 ,       56480 ,        82368 ,    24155 , 93274 ,         58709 ,      19739 ,  84113 ,    131310 ,   197242 , 70371 , 37274 ,      37348 ,          752608 , 537580 , 14974 ,    28327 ,    43062 ,     120226 ,     8439
St. Louis        ,Missouri             ,MO        ,     77770 ,   2127843 ,     1865503 ,      814412 ,         814412 ,       77884 ,   1162473 , 287842 , 625460 ,       913302 ,     251800 ,      1146 ,1405404 , 453554 ,  77680 ,      148391 ,   93491 ,     149417 ,       101827 ,       541400 ,       260685 ,        35115 ,         939027 ,     180259 ,      1112028 ,             7149 ,       56929 ,       111852 ,    24539 ,115944 ,         58796 ,      22150 ,  93121 ,    148032 ,   286747 , 95114 , 55056 ,      36599 ,          991362 , 718305 , 34543 ,    55803 ,    47952 ,     116348 ,    18411
Jackson          ,Mississippi          ,MS        ,     42211 ,    331332 ,      287171 ,      122538 ,         122538 ,       56724 ,    172415 ,  52214 ,  86239 ,       138453 ,     211000 ,      1110 , 133349 , 171132 ,   5023 ,       12909 ,   11464 ,       8306 ,        12555 ,        96702 ,        32665 ,         3552 ,         145474 ,      32837 ,       163207 ,             1118 ,        7732 ,        11615 ,     3203 , 19569 ,         10168 ,       3300 ,  10118 ,     16814 ,    44020 , 16574 ,  9696 ,       9280 ,          158059 , 115030 ,  3158 ,     6831 ,    14096 ,      15673 ,     3271
Bozeman          ,Montana              ,MT        ,     09514 ,     63917 ,       46971 ,       27511 ,          27511 ,       82969 ,     42421 ,  15870 ,  13154 ,        29024 ,     663800 ,      1852 ,  55266 ,    450 ,   1320 ,        5115 ,    4218 ,       3098 ,         8078 ,        23338 ,         2945 ,         1562 ,          35923 ,      14692 ,        41217 ,              909 ,        3741 ,         1203 ,      473 ,  5882 ,          1667 ,        854 ,   3125 ,      5442 ,     9482 ,  4991 ,  2161 ,       1287 ,           31224 ,  17168 ,  3247 ,     2934 ,     2743 ,       4205 ,      927
Charlotte        ,North Carolina       ,NC        ,     15670 ,   1436613 ,     1218584 ,      470341 ,         470341 ,       87522 ,    816687 , 238356 , 332673 ,       571029 ,     450700 ,      1656 , 706664 , 366463 ,  84886 ,      146993 ,  224013 ,     229478 ,        48558 ,       293020 ,       193944 ,        31933 ,         567455 ,     130843 ,       788163 ,             2227 ,       55137 ,        67514 ,    16614 , 79975 ,         52304 ,      17821 , 103051 ,    129234 ,   143025 , 65097 , 38191 ,      17973 ,          616878 , 415394 ,  4871 ,    13090 ,    32088 ,     141645 ,     9790
Durham           ,North Carolina       ,NC        ,     25228 ,    411362 ,      323810 ,      138465 ,         138465 ,       81082 ,    233454 ,  80960 ,  89955 ,       170915 ,     438500 ,      1562 , 195303 , 112379 ,  26667 ,       35734 ,   59712 ,      63420 ,        21845 ,       106906 ,        40932 ,         6757 ,         176440 ,      61661 ,       224988 ,              383 ,       11603 ,        18035 ,     2484 , 19528 ,          6464 ,       3783 ,  10941 ,     41483 ,    75498 , 16702 ,  9294 ,       8790 ,          186415 , 117194 ,  3793 ,     7599 ,    12572 ,      43128 ,     2129
Fayetteville     ,North Carolina       ,NC        ,     29440 ,    326821 ,      259573 ,      114838 ,         114838 ,       60179 ,    166917 ,  58127 ,  68714 ,       126841 ,     215500 ,      1232 , 129047 , 130695 ,  10858 ,       36322 ,   45064 ,      24194 ,        26078 ,        78743 ,        31157 ,         6857 ,         142835 ,      40772 ,       125003 ,              406 ,        7297 ,        11379 ,     1638 , 15282 ,          9362 ,       1565 ,   4766 ,     13920 ,    31888 , 11721 ,  6182 ,       9597 ,          140241 ,  93950 ,  5253 ,     5475 ,     9696 ,      16274 ,     9593
Greensboro       ,North Carolina       ,NC        ,     35164 ,    345858 ,      281130 ,      125332 ,         125332 ,       63884 ,    183240 ,  62869 ,  77944 ,       140813 ,     259600 ,      1202 , 148280 , 129271 ,  17124 ,       31494 ,   35897 ,      41637 ,        21573 ,        90643 ,        25993 ,         9522 ,         147731 ,      45539 ,       175386 ,              373 ,        7875 ,        21935 ,     4564 , 21928 ,         12450 ,       1720 ,  12768 ,     18097 ,    44407 , 18460 ,  7049 ,       3760 ,          151646 ,  98481 ,  2499 ,     5370 ,    15456 ,      26254 ,     3586
Raleigh          ,North Carolina       ,NC        ,     73261 ,   1150010 ,      972022 ,      391403 ,         391403 ,      102852 ,    649710 , 172993 , 295826 ,       468819 ,     483100 ,      1653 , 662147 , 217830 , 103023 ,      104078 ,  130085 ,     181017 ,        42577 ,       248700 ,       136952 ,        23326 ,         451555 ,      99205 ,       626321 ,             4394 ,       34327 ,        59091 ,    12318 , 56347 ,         23566 ,      13155 ,  54489 ,    146389 ,   122714 , 44798 , 26460 ,      28273 ,          498971 , 353616 ,  4671 ,    11317 ,    22435 ,      97873 ,     9059
Fargo            ,North Dakota         ,ND        ,     29089 ,    225066 ,      174272 ,       99306 ,          99306 ,       67510 ,    134705 ,  48956 ,  49273 ,        98229 ,     281100 ,       992 , 181822 ,  17364 ,   6696 ,       15810 ,    9080 ,      14811 ,        19937 ,        82023 ,         9558 ,         2547 ,         114065 ,      36901 ,       129021 ,             2060 ,        8700 ,        11331 ,     5047 , 14243 ,          5037 ,       2654 ,  11717 ,     12588 ,    36155 ,  9268 ,  5773 ,       4448 ,          104444 ,  52268 ,  1193 ,     3368 ,     4312 ,      41733 ,     1570
Lincoln          ,Nebraska             ,NE        ,     49933 ,    293055 ,      240059 ,      117623 ,         117623 ,       67925 ,    164379 ,  58212 ,  67979 ,       126191 ,     264600 ,      1024 , 231045 ,  10511 ,  12321 ,       27486 ,   25863 ,      24041 ,        25427 ,        95810 ,        14928 ,         4557 ,         140722 ,      47390 ,       159251 ,             1725 ,        8270 ,        16145 ,     3042 , 15058 ,          7204 ,       2566 ,  12262 ,     17554 ,    43819 , 15071 ,  7586 ,       8949 ,          130987 ,  80501 ,  4968 ,     4316 ,     8450 ,      31369 ,     1383
Omaha            ,Nebraska             ,NE        ,     65269 ,    826161 ,      703271 ,      325816 ,         325816 ,       80510 ,    459343 , 124485 , 211097 ,       335582 ,     275000 ,      1188 , 589721 ,  70647 ,  31363 ,       82819 ,  117103 ,      76629 ,        48232 ,       264064 ,        57057 ,        11082 ,         380435 ,      75941 ,       442146 ,             4044 ,       28912 ,        38159 ,    10531 , 47336 ,         26016 ,       8029 ,  46428 ,     55726 ,   106872 , 36606 , 18145 ,      15342 ,          351047 , 251558 ,  3352 ,     6826 ,    17116 ,      68465 ,     3730
Manchester       ,New Hampshire        ,NH        ,     53740 ,    162716 ,      136113 ,       66971 ,          66971 ,       88710 ,     97915 ,  29776 ,  37654 ,        67430 ,     387800 ,      1647 , 127770 ,   6725 ,   9043 ,       17038 ,   16591 ,      20249 ,        10217 ,        46005 ,        18504 ,         5726 ,          80452 ,      18221 ,        95156 ,               92 ,        6235 ,        12019 ,     2224 , 12222 ,          4910 ,       1724 ,   7931 ,     10415 ,    24826 ,  7065 ,  3498 ,       1995 ,           70912 ,  34329 ,  5462 ,     7877 ,     7155 ,      15382 ,      707
Atlantic City    ,New Jersey           ,NJ        ,     03904 ,    299290 ,      263241 ,      101572 ,         101572 ,       77447 ,    158434 ,  40606 ,  92361 ,       132967 ,     358300 ,      1323 , 178175 ,  36806 ,  21673 ,       32372 ,   55331 ,      47159 ,        18934 ,        75619 ,        27359 ,         8859 ,         130771 ,      23799 ,       147398 ,              734 ,        8325 ,         6240 ,     1622 , 12096 ,          6396 ,       1661 ,   9325 ,     13657 ,    38553 , 33954 ,  6555 ,       8280 ,          203770 , 141805 , 13150 ,     9362 ,     9525 ,      24867 ,     5061
Albuquerque      ,New Mexico           ,NM        ,     01171 ,    767499 ,      664666 ,      274494 ,         274494 ,       69754 ,    400902 , 110185 , 212388 ,       322573 ,     307000 ,      1232 , 380463 ,  25568 ,  22395 ,      199325 ,  374419 ,      75809 ,        39629 ,       195310 ,        75797 ,        19662 ,         330398 ,      70865 ,       379938 ,             3674 ,       24612 ,        21420 ,     6513 , 37937 ,         16493 ,       6803 ,  21690 ,     63138 ,   100386 , 36904 , 19517 ,      20851 ,          341741 , 244189 ,  4735 ,    20920 ,    11268 ,      44942 ,    15687
Reno             ,Nevada               ,NV        ,     74179 ,    454814 ,      385052 ,      160888 ,         160888 ,       83563 ,    246459 ,  72134 , 110611 ,       182745 ,     536300 ,      1618 , 279630 ,   9992 ,  28888 ,       85556 ,  126403 ,      68071 ,        21768 ,       133896 ,        42613 ,         8733 ,         207010 ,      40727 ,       236010 ,             1925 ,       18756 ,        24351 ,     6136 , 25538 ,         16358 ,       2773 ,  12057 ,     31093 ,    45792 , 32034 ,  9895 ,       9302 ,          200773 , 126714 ,  3251 ,    10669 ,    15545 ,      32638 ,    11956
Las Vegas        ,Nevada               ,NV        ,     47995 ,   2256509 ,     1893730 ,      772143 ,         772143 ,       75019 ,   1182861 , 364099 , 483847 ,       847946 ,     438000 ,      1662 , 952093 , 278667 , 252079 ,      379099 ,  736375 ,     505858 ,        67472 ,       528976 ,       323477 ,        49961 ,         969886 ,     182688 ,      1112538 ,             4414 ,       84469 ,        42487 ,    19403 ,121310 ,         96651 ,      19119 ,  68340 ,    146113 ,   178000 ,247305 , 45500 ,      39427 ,          925903 , 609208 , 10849 ,    62297 ,    59375 ,     162674 ,    21500
Buffalo          ,New York             ,NY        ,     11350 ,    949547 ,      831781 ,      332404 ,         332404 ,       66777 ,    486312 , 154195 , 262883 ,       417078 ,     230700 ,      1066 , 679991 , 129710 ,  50330 ,       63576 ,   61000 ,      73807 ,        57201 ,       262885 ,        73932 ,        14703 ,         408721 ,      88394 ,       467345 ,             1245 ,       22588 ,        49760 ,     8964 , 48416 ,         26084 ,       6178 ,  38426 ,     50231 ,   132856 , 38393 , 21926 ,      22278 ,          450108 , 264191 , 80016 ,    35756 ,    22099 ,      42587 ,     5459
New York City    ,New York             ,NY        ,     63217 ,  18832416 ,    16972962 ,     4111326 ,        4111326 ,       94043 ,  10025644 ,3625858 ,3613692 ,      7239550 ,     613300 ,      1763 ,8357858 ,3055017 ,2347156 ,     2375525 , 4923991 ,    5844561 ,       584863 ,      2849368 ,      2948941 ,      1654557 ,        8037729 ,    1560313 ,      9487656 ,            15514 ,      540707 ,       497532 ,   189083 ,849145 ,        616713 ,     294192 , 861107 ,   1442046 ,  2578432 ,776625 ,451184 ,     375376 ,         7791582 ,3139255 ,789879 ,   578300 ,   441627 ,    2814174 ,    28347
Cincinnati       ,Ohio                 ,OH        ,     16885 ,   1704916 ,     1483217 ,      637036 ,         637036 ,       77455 ,    913064 , 252902 , 452538 ,       705440 ,     274700 ,      1122 ,1229833 , 241290 ,  54537 ,      137060 ,   88618 ,     116582 ,        79914 ,       439227 ,       205607 ,        25668 ,         750416 ,     149707 ,       879503 ,             3111 ,       45107 ,       114391 ,    15655 ,104271 ,         50562 ,      12364 ,  68147 ,    119464 ,   204976 , 72057 , 40673 ,      28725 ,          743704 , 494284 , 28852 ,    46095 ,    44344 ,     122406 ,     7723
Columbus         ,Ohio                 ,OH        ,     19234 ,   1578153 ,     1306367 ,      571062 ,         571062 ,       76669 ,    875026 , 299569 , 353261 ,       652830 ,     327000 ,      1305 , 956484 , 338939 , 104312 ,      125815 ,  108710 ,     205902 ,        70617 ,       437935 ,       145439 ,        21976 ,         675967 ,     147840 ,       841793 ,             2225 ,       39557 ,        63688 ,    17035 , 92379 ,         63532 ,      16235 ,  85672 ,    111408 ,   212084 , 69263 , 34050 ,      34665 ,          696913 , 443562 , 16750 ,    49100 ,    61112 ,     118738 ,     7651
Oklahoma City    ,Oklahoma             ,OK        ,     65080 ,   1000207 ,      827094 ,      374896 ,         374896 ,       67408 ,    520085 , 168301 , 237203 ,       405504 ,     237200 ,      1177 , 572108 , 119376 ,  40462 ,      180711 ,  195300 ,      98631 ,        46528 ,       269746 ,       106411 ,        14346 ,         437031 ,      94195 ,       489190 ,            11021 ,       31831 ,        32839 ,    10036 , 61591 ,         27533 ,       7077 ,  34184 ,     59044 ,   112991 , 41701 , 27691 ,      31651 ,          439355 , 324728 ,  8636 ,    14207 ,    27243 ,      56244 ,     8297
Tusla            ,Oklahoma             ,OK        ,     88948 ,    740620 ,      626717 ,      268268 ,         268268 ,       65784 ,    378197 , 120361 , 177045 ,       297406 ,     235100 ,      1107 , 444876 ,  69510 ,  28421 ,      121136 ,  115406 ,      72698 ,        40105 ,       213186 ,        53102 ,         9414 ,         315807 ,      68786 ,       358910 ,             4314 ,       25232 ,        38245 ,     8472 , 41870 ,         23748 ,       6455 ,  22102 ,     41047 ,    82010 , 31898 , 20234 ,      13283 ,          323416 , 233252 ,  3791 ,    10126 ,    18028 ,      52188 ,     6031
Portland         ,Oregon               ,OR        ,     71317 ,   2084045 ,     1764478 ,      682917 ,         682917 ,       94771 ,   1189952 , 358743 , 513508 ,       872251 ,     559100 ,      1691 ,1415058 ,  76548 , 169295 ,      283028 ,  306669 ,     282249 ,        97783 ,       494089 ,       232292 ,        54625 ,         878789 ,     166686 ,      1143867 ,            11235 ,       69348 ,       139447 ,    27713 ,132719 ,         62065 ,      21918 ,  65458 ,    168927 ,   258433 , 95436 , 51134 ,      40034 ,          912382 , 576520 , 21863 ,    42415 ,    56957 ,     193835 ,    20792
Eugene           ,Oregon               ,OR        ,     28117 ,    272737 ,      219099 ,       86745 ,          86745 ,       68771 ,    144623 ,  55449 ,  62050 ,       117499 ,     434700 ,      1406 , 210010 ,   4227 ,   9419 ,       32388 ,   31785 ,      13358 ,        15979 ,        82663 ,        11229 ,         4400 ,         114271 ,      38775 ,       136610 ,             2609 ,        7415 ,        12394 ,     2570 , 15596 ,          4153 ,       1832 ,   6211 ,     16563 ,    41014 , 12713 ,  7256 ,       6284 ,          124149 ,  76971 ,  3065 ,     7957 ,     8050 ,      20752 ,     7354
Pittsburgh       ,Pennsylvania         ,PA        ,     69697 ,   1712828 ,     1499862 ,      584550 ,         584550 ,       75559 ,    929668 , 242933 , 517970 ,       760903 ,     232700 ,      1101 ,1368700 , 170121 ,  57037 ,       95500 ,   45284 ,      93432 ,        85558 ,       372071 ,       224041 ,        44286 ,         725956 ,     144174 ,       893580 ,             4869 ,       52516 ,        83915 ,    16978 , 95465 ,         52033 ,      16049 ,  70758 ,    118998 ,   244920 , 75701 , 37213 ,      24165 ,          840531 , 621739 , 36068 ,    33260 ,    32634 ,     104451 ,    12379
Philadelphia     ,Pennsylvania         ,PA        ,     69076 ,   5696588 ,     5025246 ,     1791181 ,        1791181 ,       84489 ,   3052563 , 787523 ,1497613 ,      2285136 ,     349700 ,      1457 ,3292830 ,1208948 , 385889 ,      474400 ,  641918 ,     717901 ,       234323 ,      1071858 ,       827153 ,       242365 ,        2375699 ,     509606 ,      2910109 ,            10624 ,      155568 ,       254569 ,    57823 ,296713 ,        169410 ,      52370 , 234052 ,    403837 ,   799500 ,223519 ,125700 ,     126424 ,         2431800 ,1722120 ,100522 ,   117968 ,    96894 ,     370547 ,    23749
Providence       ,Rhode Island         ,RI        ,     72505 ,   1270529 ,     1113285 ,      468642 ,         468642 ,       82320 ,    692759 , 203984 , 313150 ,       517134 ,     414200 ,      1348 , 889503 ,  71717 ,  46934 ,      157640 ,  220689 ,     198190 ,        74054 ,       291711 ,       154878 ,        50536 ,         571179 ,     118691 ,       656354 ,             3159 ,       43579 ,        70996 ,    11878 , 77839 ,         29563 ,       7517 ,  42798 ,     81733 ,   171923 , 54568 , 32302 ,      28499 ,          556648 , 305346 , 54863 ,    80258 ,    35955 ,      73831 ,     6395
Charleston       ,South Carolina       ,SC        ,     15508 ,    726389 ,      595986 ,      268740 ,         268740 ,       86502 ,    402094 ,  98931 , 199924 ,       298855 ,     388000 ,      1667 , 476952 , 158396 ,  16845 ,       48468 ,   58369 ,      55705 ,        30028 ,       162540 ,       102393 ,        23585 ,         318546 ,      63438 ,       379844 ,             1050 ,       27087 ,        38113 ,     5951 , 37192 ,         23500 ,       5072 ,  28547 ,     62399 ,    77885 , 37039 , 17084 ,      18925 ,          328349 , 218848 ,  8427 ,    12605 ,    20974 ,      49842 ,    17653
Columbia         ,South Carolina       ,SC        ,     18964 ,    605083 ,      501408 ,      222942 ,         222942 ,       66938 ,    321397 ,  87387 , 158658 ,       246045 ,     248600 ,      1211 , 305326 , 212366 ,  17859 ,       49970 ,   44297 ,      38976 ,        37100 ,       156403 ,        59160 ,         9657 ,         262320 ,      78296 ,       294824 ,             1778 ,       15242 ,        23907 ,     3883 , 33325 ,         18553 ,       4513 ,  22914 ,     32960 ,    76501 , 21772 , 17485 ,      21991 ,          270920 , 193805 ,  3929 ,     9930 ,    17345 ,      34888 ,    11023
Sioux Falls      ,South Dakota         ,SD        ,     82252 ,    207795 ,      180920 ,       89917 ,          89917 ,       71160 ,    119048 ,  34195 ,  56555 ,        90750 ,     301000 ,       986 , 163359 ,  15146 ,   5595 ,       13774 ,   15042 ,      21241 ,        13412 ,        77397 ,        10117 ,         2856 ,         103782 ,      18743 ,       116221 ,             1862 ,        6605 ,        13331 ,     3116 , 12088 ,          4263 ,       2260 ,  12490 ,     10599 ,    32444 ,  8123 ,  4804 ,       4236 ,           96318 ,  59482 ,  1481 ,     2924 ,     3983 ,      25204 ,     3244
Chattanooga      ,Tennessee            ,TN        ,     15832 ,    410795 ,      343914 ,      151959 ,         151959 ,       69106 ,    217723 ,  63708 , 106760 ,       170468 ,     298900 ,      1265 , 293037 ,  63678 ,   8510 ,       27859 ,   33594 ,      21035 ,        20940 ,       111011 ,        39404 ,         4932 ,         176287 ,      36138 ,       207449 ,              887 ,       15654 ,        25972 ,     4421 , 26905 ,         16284 ,       2750 ,  13048 ,     22074 ,    46522 , 18529 , 10074 ,       4329 ,          185656 , 129562 ,  7910 ,     5457 ,     7842 ,      26189 ,     8696
Memphis          ,Tennessee            ,TN        ,     56116 ,   1033394 ,      890077 ,      378680 ,         378680 ,       62014 ,    529468 , 180499 , 229597 ,       410096 ,     256700 ,      1223 , 354441 , 534860 ,  25543 ,       66063 ,   84379 ,      77857 ,        44992 ,       266767 ,       115829 ,        11846 ,         439434 ,      88974 ,       496407 ,             1859 ,       24850 ,        45883 ,    12480 , 49377 ,         70466 ,       5344 ,  26315 ,     53288 ,   111671 , 43820 , 22399 ,      28655 ,          458565 , 328902 ,  6451 ,    23265 ,    36497 ,      57976 ,     5474
Knoxville        ,Tennessee            ,TN        ,     45640 ,    618226 ,      532120 ,      234758 ,         234758 ,       69300 ,    326265 ,  86483 , 164691 ,       251174 ,     345000 ,      1264 , 496395 ,  49620 ,  11928 ,       46484 ,   41352 ,      39831 ,        28175 ,       159005 ,        72951 ,         9137 ,         269268 ,      68991 ,       314537 ,              966 ,       20893 ,        26031 ,     6881 , 37225 ,         18698 ,       5376 ,  21379 ,     43599 ,    71812 , 35692 , 15589 ,      10396 ,          273549 , 194024 ,  5553 ,    10249 ,    17152 ,      37433 ,     9138
Nashville        ,Tennessee            ,TN        ,     61273 ,   1178679 ,      986747 ,      450255 ,         450255 ,       84867 ,    677600 , 211301 , 304334 ,       515635 ,     470600 ,      1649 , 730770 , 215129 ,  44780 ,      128023 ,  145671 ,     161213 ,        49735 ,       265968 ,       173774 ,        33822 ,         523299 ,     110399 ,       657927 ,             1844 ,       43295 ,        52880 ,    14615 , 61630 ,         37758 ,      21001 ,  44951 ,     99063 ,   156584 , 68394 , 33880 ,      22032 ,          553910 , 360049 , 17754 ,    14608 ,    26576 ,     125702 ,     9221
Austin           ,Texas                ,TX        ,     04384 ,   1915031 ,     1574570 ,      672950 ,         672950 ,      101000 ,   1149659 , 380928 , 449245 ,       830173 ,     518100 ,      1784 ,1051691 , 147393 , 182134 ,      373075 ,  583156 ,     322254 ,        79489 ,       411673 ,       261376 ,        48389 ,         800927 ,     169319 ,      1105016 ,             4224 ,       65179 ,        99258 ,    16622 ,109389 ,         50521 ,      40760 ,  87854 ,    231623 ,   207345 , 88609 , 46095 ,      57537 ,          874356 , 523939 , 20534 ,    24967 ,    40444 ,     246954 ,    17518
Dallas           ,Texas                ,TX        ,     22042 ,   5843632 ,     4960520 ,     2113814 ,        2113814 ,       81296 ,   3205298 , 981964 ,1210176 ,      2192140 ,     353400 ,      1625 ,2479361 ,1092390 , 491947 ,     1115103 , 1926811 ,    1279376 ,       233840 ,      1228149 ,       887189 ,       205940 ,        2555118 ,     561031 ,      3071420 ,            19409 ,      258936 ,       276484 ,    71806 ,337113 ,        239214 ,      64624 , 285745 ,    451886 ,   590572 ,254949 ,142279 ,      78403 ,         2358532 ,1462195 , 30273 ,    89412 ,   158397 ,     579937 ,    38318
Houston          ,Texas                ,TX        ,     40429 ,   6046392 ,     5137101 ,     2108223 ,        2108223 ,       76699 ,   3193937 , 905679 ,1297466 ,      2203145 ,     304800 ,      1435 ,2083206 ,1177341 , 589488 ,     1329076 , 2448336 ,    1652442 ,       187672 ,      1143016 ,       994165 ,       263553 ,        2588406 ,     556452 ,      3013888 ,            57803 ,      273067 ,       267891 ,    80771 ,309889 ,        225616 ,      32712 , 184544 ,    437709 ,   657221 ,252987 ,153259 ,      80419 ,         2385746 ,1528113 , 31922 ,    71294 ,   104946 ,     583462 ,    66009
San Antonio      ,Texas                ,TX        ,     78580 ,   2069843 ,     1696728 ,      701976 ,         701976 ,       70634 ,   1085412 , 309546 , 446971 ,       756517 ,     281200 ,      1334 , 865523 , 172680 ,  70986 ,      688929 , 1213573 ,     292115 ,        71312 ,       472348 ,       266424 ,        60029 ,         870113 ,     210256 ,      1003799 ,             6066 ,       80315 ,        63348 ,    18060 ,121198 ,         53703 ,      16431 ,  80767 ,    126278 ,   243422 ,102692 , 45937 ,      45582 ,          832212 , 557934 , 13904 ,    33503 ,    52121 ,     159830 ,    14920
Provo            ,Utah                 ,UT        ,     72559 ,    639820 ,      515145 ,      203753 ,         203753 ,       99745 ,    337098 ,  67747 , 124240 ,       191987 ,     578300 ,      1557 , 517223 ,   4574 ,  11225 ,       66909 ,   94626 ,      54714 ,        46280 ,       141862 ,        59977 ,        16267 ,         264386 ,     114060 ,       323302 ,             1706 ,       25055 ,        25554 ,     7619 , 35741 ,          8213 ,       7154 ,  21036 ,     53368 ,    89540 , 23788 , 16244 ,       8284 ,          197331 , 143376 ,  6066 ,     8580 ,     8682 ,      28640 ,     1987
Salt Lake City   ,Utah                 ,UT        ,     78499 ,   1169033 ,      980758 ,      413331 ,         413331 ,       94000 ,    666568 , 149787 , 282247 ,       432034 ,     553900 ,      1649 , 815922 ,  19552 ,  50373 ,      132286 ,  240591 ,     159307 ,        48276 ,       323254 ,       126666 ,        18477 ,         516673 ,     117306 ,       642234 ,             3912 ,       46893 ,        64920 ,    12641 , 75043 ,         37377 ,      10671 ,  51980 ,     90140 ,   144823 , 54493 , 27987 ,      21354 ,          453814 , 311187 , 10248 ,    16905 ,    18715 ,      87990 ,     8769
