City             ,State                ,StateCode ,CensusCode ,Population ,sameHouse1yr ,transportCar ,publicTransport ,medianIncome ,employment ,rent    ,own     ,housingTenure ,medianValue ,medianRent ,white   ,black   ,asian   ,twoPlusRaces ,hispanic ,foreignBorn ,commuteless10 ,commute10to29 ,commute30to59 ,commute60plus ,counttraveltime ,youngAdults ,industryTotal ,naturalReasources ,construction ,manufacturing ,wholesale ,retail ,transportation ,information ,finance ,scientific ,education ,arts   ,other  ,publicAdmin ,housingTypeTotal ,units1  ,units2 ,units3or4 ,units5or9 ,units10plus ,otherType
Los Angeles      ,California           ,CA        ,     51445 ,  11885717 ,    10680530 ,     3989403 ,        3989403 ,       90410 ,   6432320 ,2259466 ,1939347 ,      4198813 ,     861400 ,      1968 ,3661819 , 742498 ,2089119 ,     2312847 , 5563738 ,    4011195 ,       355947 ,      2286537 ,      1838516 ,       588436 ,        5069436 ,    1074349 ,      6070037 ,            31029 ,      382524 ,       542065 ,   162859 ,592653 ,        403559 ,     233511 , 344639 ,    854734 ,  1329824 ,666066 ,318025 ,     208549 ,         4459188 ,2414881 ,113499 ,   274038 ,   333178 ,    1240103 ,    83489
Boulder          ,Colorado             ,CO        ,     09298 ,    120121 ,       81865 ,       30290 ,          30290 ,       77348 ,     69375 ,  26490 ,  24508 ,        50998 ,     939600 ,      1908 ,  96143 ,   1966 ,   6336 ,       13760 ,   12715 ,      12287 ,         8899 ,        28144 ,         5391 ,         2148 ,          44582 ,      34231 ,        64736 ,              823 ,        1431 ,         5201 ,      635 ,  7329 ,          1428 ,       1845 ,   2578 ,     14151 ,    16959 ,  7315 ,  3021 ,       2020 ,           54527 ,  25688 ,  1057 ,     3705 ,     4741 ,      18183 ,     1153
Colorado Springs ,Colorado             ,CO        ,     18856 ,    638421 ,      507435 ,      232525 ,         232525 ,       85562 ,    358106 ,  95818 , 167188 ,       263006 ,     457600 ,      1688 , 445903 ,  41419 ,  19636 ,       85872 ,  127444 ,      46253 ,        32898 ,       166648 ,        62293 ,        16226 ,         278065 ,      63410 ,       314005 ,             2338 ,       20908 ,        17310 ,     3116 , 34451 ,         13908 ,       8625 ,  24964 ,     48317 ,    74245 , 29105 , 17293 ,      19425 ,          274915 , 198789 ,  3861 ,     9164 ,    13549 ,      43671 ,     5881
Denver           ,Colorado             ,CO        ,     23527 ,   2691349 ,     2220545 ,      978638 ,         978638 ,      100522 ,   1602705 , 444716 , 680917 ,      1125633 ,     594700 ,      1894 ,1714489 , 154847 , 124473 ,      453326 ,  685845 ,     353218 ,       112679 ,       595302 ,       411909 ,        75096 ,        1194986 ,     222081 ,      1541163 ,            15901 ,      115055 ,        99275 ,    36341 ,146660 ,         84098 ,      49317 , 120142 ,    274327 ,   316396 ,146034 , 73634 ,      63983 ,         1180658 , 732666 , 13388 ,    34323 ,    61628 ,     322841 ,    15812
Fort Collins     ,Colorado             ,CO        ,     30628 ,    339256 ,      279237 ,      119948 ,         119948 ,       86848 ,    191077 ,  56429 ,  86451 ,       142880 ,     543300 ,      1693 , 278123 ,   3677 ,   7646 ,       38963 ,   45346 ,      15887 ,        22125 ,        80888 ,        28361 ,        10849 ,         142223 ,      50530 ,       181449 ,             3011 ,       11849 ,        16686 ,     2875 , 15738 ,          6875 ,       3389 ,   9803 ,     26742 ,    48381 , 20523 ,  7743 ,       7834 ,          148591 , 102219 ,  2689 ,     8154 ,     9981 ,      21814 ,     3734
New Haven        ,Connecticut          ,CT        ,     62407 ,    565056 ,      482609 ,      201057 ,         201057 ,       79396 ,    302598 ,  96413 , 136169 ,       232582 ,     348600 ,      1457 , 345584 ,  76680 ,  24668 ,       58461 ,  113105 ,      77926 ,        38264 ,       138162 ,        55054 ,        15689 ,         247169 ,      58742 ,       289297 ,              464 ,       16183 ,        29181 ,     2945 , 26911 ,         14543 ,       5364 ,  16277 ,     31238 ,   104939 , 21739 , 11601 ,       7912 ,          251028 , 144928 , 26746 ,    25615 ,    11736 ,      40232 ,     1771
Hartford         ,Connecticut          ,CT        ,     37243 ,    969171 ,      859217 ,      354055 ,         354055 ,       85062 ,    531094 , 149841 , 250355 ,       400196 ,     311800 ,      1377 , 599503 , 130001 ,  62512 ,      103861 ,  182845 ,     161973 ,        51469 ,       252094 ,       103663 ,        21233 ,         428459 ,      90180 ,       506394 ,             2819 ,       24594 ,        53026 ,     8419 , 49664 ,         30452 ,       8706 ,  47951 ,     60867 ,   136848 , 39705 , 19684 ,      23659 ,          428107 , 253889 , 30180 ,    40625 ,    28335 ,      72362 ,     2716
Washington       ,District of Columbia ,DC        ,     92242 ,   5146120 ,     4377744 ,     1495396 ,        1495396 ,      122458 ,   2968953 , 799310 ,1191087 ,      1990397 ,     607500 ,      1973 ,2008672 ,1326213 , 634784 ,      638855 , 1012355 ,    1417732 ,       124470 ,       895096 ,       891555 ,       257249 ,        2168370 ,     442639 ,      2803441 ,             3402 ,      173394 ,        83983 ,    24696 ,191783 ,        120121 ,      67283 , 180156 ,    652849 ,   542842 ,223821 ,179159 ,     359952 ,         2092950 ,1225501 , 26735 ,    52495 ,   124836 ,     652853 ,    10530
Dover            ,Delaware             ,DE        ,     24580 ,    128045 ,      107616 ,       48558 ,          48558 ,       71337 ,     67921 ,  13706 ,  35615 ,        49321 ,     307600 ,      1390 ,  57953 ,  48934 ,   2760 ,       12553 ,   14611 ,      13283 ,         6697 ,        31547 ,        13733 ,         5591 ,          57568 ,      14654 ,        62826 ,               57 ,        3492 ,         4778 ,     1208 ,  7824 ,          4066 ,        349 ,   3764 ,      4963 ,    16436 ,  6327 ,  1957 ,       7605 ,           51595 ,  39044 ,   354 ,      947 ,     2624 ,       4616 ,     4010
Gainesville      ,Florida              ,FL        ,     32167 ,    219946 ,      164227 ,       78775 ,          78775 ,       56111 ,    118015 ,  50550 ,  45638 ,        96188 ,     317300 ,      1381 , 126213 ,  42760 ,  16692 ,       25269 ,   29544 ,      31753 ,        13209 ,        62423 ,        19608 ,         2858 ,          98098 ,      55405 ,       113267 ,              984 ,        3204 ,         3417 ,     1523 , 12303 ,          2979 ,        281 ,   5879 ,     11794 ,    50187 ,  9746 ,  4771 ,       6199 ,          102354 ,  51348 ,  1790 ,     8738 ,    11219 ,      26743 ,     2516
